location,percentage_delayed,warehouse_status
"MFP/HUB, Muzaffarpur, BIHAR",36.36,"Prioritize for Clearing"
"VASHI MINI HUB",36.05,Important
"Miramar, Goa, GOA",35.29,"Prioritize for Clearing"
"BENGALURU - BLR",35.00,"Prioritize for Clearing"
CNVS,34.00,"Prioritize for Clearing"
"PATNA AIR HUB",33.86,Important
Cuttack,33.53,"Prioritize for Clearing"
"Chamorshi, Chamorshi, MAHARASHTRA",33.33,"Prioritize for Clearing"
"Chandur Railway, Chandur Railway, MAHARASHTRA",33.33,"Prioritize for Clearing"
"Chhawlhhum, AIZAWL, MIZORAM",33.33,"Prioritize for Clearing"
"Chikiti, Chikiti, ORISSA",33.33,"Prioritize for Clearing"
Cochin,33.33,"Prioritize for Clearing"
"DEL/MTN, New Delhi, DELHI",33.33,"Prioritize for Clearing"
"DEL/PTD, Delhi NCR, DELHI",33.33,Important
"Deoghar, Jharkhand, IN",33.33,"Prioritize for Clearing"
"Dhuburi, Goalpara, ASSAM",33.33,"Prioritize for Clearing"
DINDORI,33.33,"Prioritize for Clearing"
"Doddaballapura, Doddaballapura, KARNATAKA",33.33,"Prioritize for Clearing"
"ElasticRunMapusaODH_GOA Mapusa",33.33,"Prioritize for Clearing"
ELUC,33.33,"Prioritize for Clearing"
"GOA/MRG, Goa, GOA",33.33,"Prioritize for Clearing"
"Gokak1, Gokak, KARNATAKA",33.33,"Prioritize for Clearing"
"GunjurHub_BLR Bengaluru",33.33,"Prioritize for Clearing"
"Machhagaon, Machhagaon, ORISSA",33.33,"Prioritize for Clearing"
"Madanthyar, MADANTHYAR, KARNATAKA",33.33,"Prioritize for Clearing"
"Malbazar, Malbazar, WEST BENGAL",33.33,"Prioritize for Clearing"
"Mandor Rj, Mandor RJ, RAJASTHAN",33.33,"Prioritize for Clearing"
MANTA,33.33,"Prioritize for Clearing"
"METPALLY, METPALLY, TELANGANA",33.33,"Prioritize for Clearing"
"MotherHub_SIL Jalpaiguri",33.33,"Prioritize for Clearing"
NAGROTAR,33.33,"Prioritize for Clearing"
"NARIMAN POINT",33.33,"Prioritize for Clearing"
"NDA WAREHOUSE",33.33,"Prioritize for Clearing"
"Noormahal, NoorMahal, PUNJAB",33.33,"Prioritize for Clearing"
"Pandeerankavu, PANDEERANKAVU, KERALA",33.33,"Prioritize for Clearing"
HANSI,33.33,"Prioritize for Clearing"
"Hatadihi, HATADIHI, ORISSA",33.33,"Prioritize for Clearing"
"Hingna, Nagpur, MAHARASHTRA",33.33,"Prioritize for Clearing"
"HYD/RTO, Hyderabad, TELANGANA",33.33,"Prioritize for Clearing"
"HYD/SBD-TML, Hyderabad, TELANGANA",33.33,"Prioritize for Clearing"
"JagmohannagarMDH_BBI Bhubaneswar",33.33,"Prioritize for Clearing"
"JalandharbastiyaODH_JLR Jalandhar",33.33,"Prioritize for Clearing"
"Kalasa, KALASA, KARNATAKA",33.33,"Prioritize for Clearing"
"KOCHI HUB (COKW)",33.33,"Prioritize for Clearing"
"KOTTARAKKARA, KOTTARAKKARA, KERALA",33.33,"Prioritize for Clearing"
"Triprayar, Triprayar, KERALA",33.33,"Prioritize for Clearing"
"Ulliyeri, Ulliyeri, KERALA",33.33,"Prioritize for Clearing"
"Vijayamangalam, VIJAYAMANGALAM, TAMIL NADU",33.33,"Prioritize for Clearing"
"Waidhan, Waidhan, MADHYA PRADESH",33.33,"Prioritize for Clearing"
"ZIROODH_ZIR Ziro",33.33,"Prioritize for Clearing"
Pathankot,33.33,"Prioritize for Clearing"
RAMAGUDAM,33.33,Important
"RamganjHub_RAM Ramganj",33.33,"Prioritize for Clearing"
"RTO/PTD, Delhi NCR, DELHI",33.33,"Prioritize for Clearing"
"Satyavedu, ANDHRA PRADESH, IN",33.33,"Prioritize for Clearing"
"Saundatti, SAUNDATTI, KARNATAKA",33.33,"Prioritize for Clearing"
"Shahada, Shahada, MAHARASHTRA",33.33,"Prioritize for Clearing"
"Shri Madhopur, Shri Madhopur, RAJASTHAN",33.33,"Prioritize for Clearing"
"Sigra Hub Varanasi",33.33,"Prioritize for Clearing"
"Singanallur, Coimbatore, TAMIL NADU",33.33,"Prioritize for Clearing"
SOLUR,33.33,"Prioritize for Clearing"
"Agartala, AGARTALA, TRIPURA",33.33,"Prioritize for Clearing"
"AMBARNATH/ULASHNAGAR, AMBARNATH, MAHARASHTRA",33.33,"Prioritize for Clearing"
"Amla, Amla, MADHYA PRADESH",33.33,"Prioritize for Clearing"
"Amreli1, Amreli, GUJARAT",33.33,"Prioritize for Clearing"
"Ankleshwar, ANKLESHWAR, GUJARAT",33.33,"Prioritize for Clearing"
ARKI,33.33,"Prioritize for Clearing"
"Badnera, Badnera, MAHARASHTRA",33.33,"Prioritize for Clearing"
"Bhainsa, BHAINSA, TELANGANA",33.33,"Prioritize for Clearing"
"Bhikangaon, Bhikangaon, MADHYA PRADESH",33.33,"Prioritize for Clearing"
BHPL,33.33,"Prioritize for Clearing"
"BOM/SA-Dharavi, Mumbai, MAHARASHTRA",33.33,"Prioritize for Clearing"
"BOM/SA-Kurla1, Mumbai, MAHARASHTRA",33.33,"Prioritize for Clearing"
"BOM/SRE, Mumbai, MAHARASHTRA",33.33,"Prioritize for Clearing"
"BANGALORE PUD (BLRS)",31.82,"Prioritize for Clearing"
TTCR,31.25,"Prioritize for Clearing"
Fatehpur,30.77,"Prioritize for Clearing"
"Faridkot, Faridkot, PUNJAB",30.00,"Prioritize for Clearing"
VZGP,30.00,"Prioritize for Clearing"
WAIDHAN,30.00,"Prioritize for Clearing"
Ludhiana,30.00,"Prioritize for Clearing"
MANALI,30.00,"Prioritize for Clearing"
JODHPUR,28.95,"Prioritize for Clearing"
CPHG,28.57,"Prioritize for Clearing"
"Dewas1, Dewas, MADHYA PRADESH",28.57,"Prioritize for Clearing"
"GWL/ANR, Gwalior, MADHYA PRADESH",28.57,"Prioritize for Clearing"
"IEEJA, IEEJA, ANDHRA PRADESH",28.57,"Prioritize for Clearing"
WADALA,28.57,"Prioritize for Clearing"
PARATWADA,28.57,"Prioritize for Clearing"
"HSR LAYOUT",28.17,Important
"COK/EKC, Cochin, KERALA",27.27,"Prioritize for Clearing"
KNDE,27.27,"Prioritize for Clearing"
"AGR E-TAIL PROCSSING UNIT",26.67,"Prioritize for Clearing"
"CCU/PC1, Kolkata, WEST BENGAL",25.39,"Prioritize for Clearing"
"BLR/LH1, BANGALORE, KARNATAKA",25.37,"Prioritize for Clearing"
ABAL,25.00,"Prioritize for Clearing"
AURH,25.00,"Prioritize for Clearing"
"Babain, KURUKSHETRA, HARYANA",25.00,"Prioritize for Clearing"
"BADHARGHAT, AGARTALA, TRIPURA",25.00,"Prioritize for Clearing"
"Balussery, KOZHIKODE, KERALA",25.00,"Prioritize for Clearing"
"BANJARA HILLS SERV.CENTRE",25.00,"Prioritize for Clearing"
"Basudevpur, BASUDEVPUR, ORISSA",25.00,"Prioritize for Clearing"
"BBN/MIE, Bhubaneswar, ORISSA",25.00,"Prioritize for Clearing"
"Beas, BEAS, PUNJAB",25.00,"Prioritize for Clearing"
"BIR BILLING",25.00,"Prioritize for Clearing"
"Boisar, Boisar, MAHARASHTRA",25.00,"Prioritize for Clearing"
"Tandur, Tandur, TELANGANA",25.00,"Prioritize for Clearing"
"TIRUPPATTUR (N.A)",25.00,"Prioritize for Clearing"
"Tohana, TOHANA, PUNJAB",25.00,"Prioritize for Clearing"
"Umred, Umred, MAHARASHTRA",25.00,"Prioritize for Clearing"
"VENGARA, Kannur, KERALA",25.00,"Prioritize for Clearing"
"WANAPARTHY REACH",25.00,"Prioritize for Clearing"
"HITECH CITY KONDAPUR",25.00,"Prioritize for Clearing"
"Hojai, Hojai, ASSAM",25.00,"Prioritize for Clearing"
"Hosur, Tamil Nadu, IN",25.00,"Prioritize for Clearing"
"IdentifyplusUpletaODH_UPL Upleta",25.00,"Prioritize for Clearing"
"Jambusar, Jambusar, GUJARAT",25.00,"Prioritize for Clearing"
"Kagaznagar, KAGAZNAGAR, TELANGANA",25.00,"Prioritize for Clearing"
Kakdwip,25.00,"Prioritize for Clearing"
"KankeHub_IXR Kanke",25.00,"Prioritize for Clearing"
KANNUAJ,25.00,"Prioritize for Clearing"
"Kapasan1, Kapasan, RAJASTHAN",25.00,"Prioritize for Clearing"
KAUSHAMBI,25.00,"Prioritize for Clearing"
"KoorieeAttapurODH_HYD HYDERABAD",25.00,"Prioritize for Clearing"
"Kot Ise Khan, MOGA, PUNJAB",25.00,"Prioritize for Clearing"
LALITPUR,25.00,"Prioritize for Clearing"
"Magam, Magam, JAMMU AND KASHMIR",25.00,"Prioritize for Clearing"
"Mahua, Mahua, BIHAR",25.00,"Prioritize for Clearing"
"MANDYA-TML, Mandya, KARNATAKA",25.00,"Prioritize for Clearing"
"Mohali, MOHALI, PUNJAB",25.00,"Prioritize for Clearing"
Mugalsarai,25.00,"Prioritize for Clearing"
"Mughalsarai1, Mughal Sarai, UTTAR PRADESH",25.00,"Prioritize for Clearing"
"NAVI MUMBAI, MAHARASHTRA, IN",25.00,"Prioritize for Clearing"
"PalluruthyHub_PRT Edakochi",25.00,"Prioritize for Clearing"
"PAMPORA, JAMMU  KASHMIR, IN",25.00,"Prioritize for Clearing"
"Chhapi, Palanpur, GUJARAT",25.00,"Prioritize for Clearing"
"Chimur, Chimur, MAHARASHTRA",25.00,"Prioritize for Clearing"
"COIMBATORE - CJA",25.00,"Prioritize for Clearing"
DEHRA,25.00,"Prioritize for Clearing"
"DEL/FKN, Delhi NCR, DELHI",25.00,"Prioritize for Clearing"
"DEL/GPM, Delhi NCR, DELHI",25.00,"Prioritize for Clearing"
